TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT
----------,-----------,---------,------------------------,-----------,--------------
Asset,asset_id,int,NULL,NO,NULL
Asset,asset_name,varchar,100,NO,NULL
Asset,category_id,int,NULL,YES,NULL
Asset,location,varchar,150,YES,NULL
Asset,status,varchar,30,YES,NULL
Asset,purchase_date,date,NULL,YES,NULL
Asset,company_id,int,NULL,NO,((1))
Asset,asset_code,nvarchar,50,YES,NULL
Asset,description,nvarchar,-1,YES,NULL
Asset,created_at,datetime,NULL,NO,(getdate())
Asset,updated_at,datetime,NULL,YES,NULL
Category,category_id,int,NULL,NO,NULL
Category,category_name,varchar,100,NO,NULL
Category,company_id,int,NULL,NO,((1))
Company,company_id,int,NULL,NO,NULL
Company,company_name,nvarchar,200,NO,NULL
Company,subscription_plan,nvarchar,50,YES,NULL
Company,subscription_expiry,datetime2,NULL,YES,NULL
Company,is_active,bit,NULL,NO,((1))
Company,created_at,datetime2,NULL,NO,(getdate())
Company,updated_at,datetime2,NULL,YES,NULL
Company,contact_email,nvarchar,255,YES,NULL
Company,contact_phone,nvarchar,50,YES,NULL
Company,address,nvarchar,500,YES,NULL
Company,billing_email,nvarchar,255,YES,NULL
Company,max_users,int,NULL,YES,NULL
Company,max_assets,int,NULL,YES,NULL
CompanySubscription,subscription_id,int,NULL,NO,NULL
CompanySubscription,company_id,int,NULL,NO,NULL
CompanySubscription,plan_id,int,NULL,NO,NULL
CompanySubscription,start_date,datetime,NULL,NO,NULL
CompanySubscription,end_date,datetime,NULL,NO,NULL
CompanySubscription,is_trial,bit,NULL,NO,((0))
CompanySubscription,is_active,bit,NULL,NO,((1))
CompanySubscription,payment_status,nvarchar,50,NO,('Pending')
CompanySubscription,external_payment_id,nvarchar,200,YES,NULL
CompanySubscription,last_payment_date,datetime,NULL,YES,NULL
CompanySubscription,created_at,datetime,NULL,NO,(getdate())
CompanySubscription,updated_at,datetime,NULL,YES,NULL
Personnel,personnel_id,int,NULL,NO,NULL
Personnel,user_id,nvarchar,450,YES,NULL
Personnel,first_name,nvarchar,100,NO,NULL
Personnel,last_name,nvarchar,100,NO,NULL
Personnel,role,nvarchar,50,YES,NULL
Personnel,skill_set,nvarchar,255,YES,NULL
Personnel,hourly_rate,decimal,NULL,YES,NULL
Personnel,is_active,bit,NULL,YES,((1))
Personnel,created_at,datetime,NULL,YES,(getdate())
Personnel,company_id,int,NULL,NO,((1))
Personnel,employee_id,nvarchar,50,YES,NULL
Personnel,middle_name,nvarchar,100,YES,NULL
Personnel,email,nvarchar,256,YES,NULL
Personnel,phone_number,nvarchar,50,YES,NULL
Personnel,address,nvarchar,500,YES,NULL
Personnel,position,nvarchar,100,YES,NULL
Personnel,department,nvarchar,100,YES,NULL
Personnel,employment_type,nvarchar,50,YES,NULL
Personnel,hire_date,date,NULL,YES,NULL
Personnel,termination_date,date,NULL,YES,NULL
Personnel,status,nvarchar,50,YES,('Active')
Personnel,notes,nvarchar,-1,YES,NULL
Personnel,emergency_contact_name,nvarchar,200,YES,NULL
Personnel,emergency_contact_phone,nvarchar,50,YES,NULL
Personnel,profile_photo_url,nvarchar,500,YES,NULL
Personnel,updated_at,datetime2,NULL,YES,NULL
SubscriptionPlan,plan_id,int,NULL,NO,NULL
SubscriptionPlan,name,nvarchar,100,NO,NULL
SubscriptionPlan,description,nvarchar,500,YES,NULL
SubscriptionPlan,monthly_price,decimal,NULL,NO,((0))
SubscriptionPlan,yearly_price,decimal,NULL,NO,((0))
SubscriptionPlan,max_users,int,NULL,YES,NULL
SubscriptionPlan,max_assets,int,NULL,YES,NULL
SubscriptionPlan,max_work_orders_per_month,int,NULL,YES,NULL
SubscriptionPlan,features_json,nvarchar,-1,YES,NULL
SubscriptionPlan,is_active,bit,NULL,NO,((1))
SubscriptionPlan,created_at,datetime,NULL,NO,(getdate())
SubscriptionPlan,updated_at,datetime,NULL,YES,NULL

(77 rows affected)
